Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-01,5607.3923908443485,5748.237411650486,5349.469946493109,5690.7109375,154462.0,0.0,0
2019-02-01,5690.138540488837,5809.2404329970295,5151.010065786242,5255.36767578125,189690.0,0.0,0
2019-03-01,5273.765107986985,5298.412983637733,4807.7000159395875,5147.7529296875,492729.0,0.0,0
2019-04-01,5194.5399824913,5251.318126682232,4929.5753096002845,4939.30224609375,186910.0,0.0,0
2019-04-25,,,,,,66.0,0
2019-04-26,,,,,,66.0,0
2019-04-29,,,,,,66.0,0
2019-05-01,5116.766778726572,5170.5239919886,4865.034479234423,4984.1298828125,371872.0,0.0,0
2019-06-01,5013.675985068365,5244.29769605545,4814.879811051467,5152.37744140625,242176.0,0.0,0
2019-07-01,5152.285788628277,5676.633457382482,5128.48487495817,5590.68603515625,407796.0,0.0,0
2019-08-01,5564.149610175924,5829.83439351232,5362.025063953143,5598.30078125,294889.0,0.0,0
2019-09-01,5598.300830954737,5745.02690524296,5113.073945666235,5360.7939453125,296892.0,0.0,0
2019-10-01,5360.201331681431,6337.767821569572,5180.600668328423,6138.88037109375,372892.0,0.0,0
2019-11-01,6200.936108478586,6474.554240198323,5813.648157721741,6450.251953125,227509.0,0.0,0
2019-12-01,6491.059560908374,6596.74972526339,6167.240585009166,6388.83447265625,136920.0,0.0,0
2020-01-01,6406.936505380225,6420.113324438953,6023.1594796127465,6042.3095703125,209413.0,0.0,0
2020-02-01,6055.122003221132,6966.985710250502,5932.516088609341,6650.68994140625,524511.0,0.0,0
2020-03-01,6701.61935137736,6976.058547554669,5380.26318861429,5702.486328125,757236.0,0.0,0
2020-04-01,5725.876977641749,7827.781939889033,5690.312524364471,7093.10205078125,1232606.0,0.0,0
2020-04-17,,,,,,243.0,0
2020-04-20,,,,,,243.0,0
2020-05-01,7405.688115359314,7937.074165693959,7089.029811070913,7502.9609375,745565.0,0.0,0
2020-06-01,7592.6166386116865,8247.57078954624,7471.37715849316,7643.31494140625,584442.0,0.0,0
2020-06-29,,,,,,243.0,0
2020-07-01,7855.0,7960.0,7481.9501953125,7767.75,605199.0,0.0,0
2020-08-01,7868.0,8989.0,7650.0,8218.5498046875,602970.0,0.0,0
2020-09-01,8316.75,8918.9501953125,7970.0,8640.650390625,446542.0,0.0,0
2020-10-01,8740.0,8786.849609375,7880.0,8000.25,346110.0,0.0,0
2020-11-01,8070.64990234375,8410.400390625,7915.25,8267.349609375,444795.0,0.0,0
2020-12-01,8266.5,8266.5,7811.75,7924.39990234375,313951.0,0.0,0
2020-12-11,8000.0,8049.5498046875,7870.0,7924.39990234375,32481.0,0.0,0
