Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-15,1512.4950944227276,1528.8780676262102,1505.6688754279119,1524.294677734375,99545,0.0,0
2018-12-22,1519.5651887705403,1526.0501209727438,1419.7561337588893,1487.189453125,784274,0.0,0
2018-12-29,1458.3728965806408,1489.38348121513,1453.6433259062114,1481.1431884765625,124044,0.0,0
2019-01-05,1478.9979965881312,1490.8463871051445,1474.4634126816422,1485.5316162109375,46129,0.0,0
2019-01-12,1469.5874513558213,1474.3658285225388,1457.885361497646,1459.29931640625,33550,0.0,0
2019-01-19,1446.8658332904997,1456.7638746836885,1434.5786628547332,1448.2799072265625,187763,0.0,0
2019-01-26,1428.435187207121,1428.435187207121,1384.7473363049535,1389.1356201171875,65300,0.0,0
2019-02-02,1337.5976482043802,1344.228761008171,1318.3866460032461,1327.7484130859375,108173,0.0,0
2019-02-09,1317.1189531830635,1319.3617822423246,1307.7084990871144,1312.340576171875,68629,0.0,0
2019-02-16,1290.1065913145976,1296.0064425251635,1272.699756583001,1286.4010009765625,45440,0.0,0
2019-02-23,1319.410637067362,1341.3032493199967,1310.6340696367586,1313.6083984375,111916,0.0,0
2019-03-02,1340.7668191069333,1380.8464485732388,1335.9884424755207,1375.677978515625,138760,0.0,0
2019-03-09,1468.8740819814825,1468.8740819814825,1446.850778569455,1463.3682861328125,100280,0.0,0
2019-03-16,1489.520940875977,1496.3540087364215,1476.7395730664803,1489.717529296875,103534,0.0,0
2019-03-23,1456.092782383988,1471.823696980979,1454.126418059364,1462.2376708984375,45569,0.0,0
2019-03-30,1471.7254174660695,1513.6089539953707,1465.13802490238,1497.0423583984375,250834,0.0,0
2019-04-06,1531.8960004403198,1548.5118018734147,1518.8688376626544,1526.1444091796875,95007,0.0,0
2019-04-13,1531.7976758846094,1560.3099561160946,1523.9322192690274,1551.8546142578125,89071,0.0,0
2019-04-20,1544.677412553069,1562.276396593686,1505.7434244073193,1559.0810546875,75489,0.0,0
