Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-15,210.45130258389815,211.79144665456363,208.46591293688027,210.7987518310547,860565,0.0,0
2018-12-22,209.45859562181832,217.9957766681759,209.2600596980863,213.82644653320312,5654362,0.0,0
2018-12-29,220.13006873572988,221.66874868307616,217.94614323658692,219.18701171875,2263147,0.0,0
2019-01-05,209.06152370035034,213.3300990746981,208.46590078204505,212.23814392089844,1213181,0.0,0
2019-01-12,212.4366853847872,213.67755387418435,209.75641247715353,210.35202026367188,698106,0.0,0
2019-01-19,216.80452998921146,216.90380552435195,212.1388676366871,214.6702423095703,771653,0.0,0
2019-01-26,209.45860173779954,210.50093430197782,204.54476553218257,205.53746032714844,1723705,0.0,0
2019-02-02,202.31119732834398,206.2819764117371,200.17689448262811,202.6090087890625,948332,0.0,0
2019-02-09,188.6120048134619,190.10104695672607,183.05290808634766,184.34341430664062,1280248,0.0,0
2019-02-16,189.60470644515206,189.60470644515206,182.85437878832127,184.79013061523438,1624523,0.0,0
2019-02-23,188.6120137828187,190.64704117151854,186.6762619339855,187.86749267578125,1243941,0.0,0
2019-03-02,192.58279246353496,196.40467352753853,191.78863358886036,195.8586883544922,1292085,0.0,0
2019-03-09,194.56818376573807,196.1565015288765,191.1930274532199,191.78863525390625,1542933,0.0,0
2019-03-16,205.88489121645438,207.07613706975155,200.87179469766315,201.715576171875,2025761,0.0,0
2019-03-23,197.84407689774915,200.37545167013414,193.77402215412465,194.32000732421875,1298095,0.0,0
2019-03-30,196.05722337433303,199.08494554957798,195.3127022729115,197.4966278076172,1586111,0.0,0
2019-04-06,209.85566908037427,213.92572371106743,208.5155402244047,209.75640869140625,2761691,0.0,0
2019-04-13,214.37243644778673,215.6629427017029,211.4936276213987,213.57827758789062,2620746,0.0,0
2019-04-20,214.12426043900143,215.21623075298427,205.78563036842044,207.32431030273438,2818804,0.0,0
2019-04-27,211.44399641432764,215.3155001489011,208.16810048266967,211.6425323486328,2510185,0.0,0
2019-05-04,204.3958491303766,205.9345290687451,201.86448955939005,202.50973510742188,1639544,0.0,0
2019-05-11,197.14918703477719,199.92872026804085,196.10685449864326,197.04991149902344,1246805,0.0,0
2019-05-18,218.3928501746334,236.55916755953285,217.00308355063197,233.6803436279297,17955568,0.0,0
2019-05-25,229.01469054818998,234.6730479582257,226.23514203967324,233.1840057373047,2395433,0.0,0
2019-06-01,235.26866575147287,244.4510925793257,233.63072540327053,242.217529296875,6568324,0.0,0
2019-06-08,249.66273730088764,257.9517447771613,245.8408563369559,255.12255859375,6012221,0.0,0
2019-06-15,251.15178557476528,252.98827702228374,244.3021974816545,245.24525451660156,1914763,0.0,0
2019-06-22,253.9809659160713,262.0714223266985,251.648127120523,259.8874816894531,3760383,0.0,0
2019-06-29,271.7998217723822,271.7998217723822,265.5458567043054,267.72979736328125,2322676,0.0,0
2019-07-06,268.0275915072306,270.21153214847914,261.3269017195499,264.6524353027344,1804483,0.0,0
2019-07-13,253.1371814465438,258.2992066762517,251.30068995359144,256.0656433105469,1087977,0.0,0
2019-07-20,254.12986618008594,254.4773154154322,243.80584642544812,247.0321044921875,2750857,0.0,0
2019-07-27,250.1094517140967,258.5969952796094,248.57077174534894,256.46270751953125,2006636,0.0,0
2019-08-03,256.8101413568087,267.77940611599365,252.54153579800928,263.65972900390625,3587924,0.0,0
2019-08-10,270.012971177613,271.89908513794046,262.81593426203324,263.5604553222656,2192096,0.0,0
