Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-08-11,974.9500122070312,994.4000244140625,968.0,983.0,50273,0,0
2020-08-12,975.0,1005.0,970.0,985.0999755859375,192975,0,0
2020-08-13,998.0,1003.9000244140625,941.2000122070312,956.4500122070312,57986,0,0
2020-08-14,960.0,968.0,930.4500122070312,960.25,47497,0,0
2020-08-17,960.25,997.0,955.2000122070312,989.4500122070312,60459,0,0
2020-08-18,999.0,1040.0,995.0,1021.5,141064,0,0
2020-08-19,1022.0,1050.0,1022.0,1046.949951171875,35964,0,0
2020-08-20,1046.949951171875,1061.0,1023.5999755859375,1050.699951171875,43570,0,0
2020-08-21,1060.0,1080.1500244140625,1015.9000244140625,1040.300048828125,124394,0,0
2020-08-24,1044.0,1080.0,1035.0,1076.949951171875,142737,0,0
2020-08-25,1070.0,1072.0,1053.949951171875,1067.9000244140625,106835,0,0
2020-08-26,1090.0,1175.0,1083.0,1158.699951171875,790571,0,0
2020-08-27,1164.949951171875,1180.0,1085.199951171875,1095.8499755859375,325538,0,0
2020-08-28,1110.0,1137.949951171875,1095.050048828125,1126.4000244140625,96307,0,0
2020-08-31,1132.050048828125,1136.800048828125,1088.0,1099.199951171875,132079,0,0
2020-09-01,1099.5,1108.449951171875,1048.0,1061.75,80484,0,0
2020-09-02,1068.0,1090.199951171875,1019.9500122070312,1084.6500244140625,71876,0,0
2020-09-03,1094.0,1100.949951171875,1060.1500244140625,1074.1500244140625,37647,0,0
2020-09-04,1060.0,1087.449951171875,1045.3499755859375,1061.6500244140625,36536,0,0
2020-09-07,1062.0,1083.9000244140625,1051.0,1055.050048828125,29114,0,0
2020-09-08,1058.300048828125,1091.0,1045.25,1080.300048828125,100421,0,0
2020-09-09,1079.0,1079.0,1031.5,1071.300048828125,73500,0,0
2020-09-10,1060.050048828125,1093.3499755859375,1060.050048828125,1078.25,45736,0,0
2020-09-11,1090.0,1093.0,1058.1500244140625,1080.9000244140625,28094,0,0
2020-09-14,1095.0,1150.0,1070.050048828125,1146.4000244140625,121739,0,0
2020-09-15,1152.9000244140625,1170.0,1115.1500244140625,1129.449951171875,85817,0,0
2020-09-16,1140.0,1140.0,1111.0,1121.0999755859375,85061,0,0
2020-09-17,1121.0,1145.949951171875,1110.0,1138.0,36307,0,0
2020-09-18,1130.0,1156.0,1125.1500244140625,1144.300048828125,104959,0,0
